Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Divergent,Flake,14.75,NoCortex,3.18,11.72,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,14.74,NoCortex,1.85,13.8,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,14.7,NoCortex,2.09,15.15,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Biconvex,Flake,14.69,NoCortex,3.37,12.89,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,14.6,NoCortex,1.83,8.02,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,14.58,NoCortex,1.73,13.61,,2,Direito,Flat,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,14.39,NoCortex,2.14,13.73,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,14.3,NoCortex,1.81,22.46,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,14.28,NoCortex,2.37,12.58,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,14.24,NoCortex,3.34,17.92,,2,Direito,Trapezoidal,Cortical,Unidireccional,No_cortex
Hinged,Irregular,Flake,14.21,NoCortex,1.67,18.03,,2,Direito,Flat,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,14.08,NoCortex,2.12,17.08,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Hinged,Divergent,Flake,14.02000046,NoCortex,2.660000086,14.47999954,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,14.01,NoCortex,10.93,19,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,13.77,NoCortex,2.7,17.94,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Irregular,Flake,13.74,NoCortex,7.63,21.47,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,13.69,NoCortex,5.47,15.51,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,13.66,NoCortex,2.57,9.39,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,13.63,NoCortex,1.61,11.03,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Paralell,Flake,13.62,NoCortex,3.38,7.24,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Hinged,Divergent,Flake,13.53,NoCortex,3.14,14.53,,2,Direito,Flat,Dihedral,Unidireccional,No_cortex
Natural,Irregular,Flake,13.49,NoCortex,1.76,10.53,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Pointed,Convergent,Flake,13.48,NoCortex,1.49,7.61,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Irregular,Flake,13.44,NoCortex,1.47,13.22,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Biconvex,Flake,13.42000008,NoCortex,5.050000191,8.949999809,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,12.81,NoCortex,1.42,10.61,,2,Direito,Flat,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,12.74,NoCortex,3.66,14.53,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,12.74,NoCortex,3.08,17.03,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,12.37,NoCortex,2.71,14.18,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,12.16,NoCortex,2.13,12.95,,2,Direito,Flat,Linear,Unidireccional,No_cortex
Hinged,Irregular,Flake,11.97,NoCortex,1.92,13.49,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,11.81,NoCortex,2.05,20.23,,2,Direito,Flat,Dihedral,Unidireccional,No_cortex
Natural,Convergent,Flake,10.95,NoCortex,0.9,11.15,,2,Direito,Flat,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,32.26,NoCortex,4.83,21.9,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,18.94,NoCortex,3.7,11.38,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,57.51,NoCortex,9.87,46.13,,2,Encurvado,Triangular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,40.26,NoCortex,3.55,20.56,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,37.1,NoCortex,10.64,25.3,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Irregular,Flake,36.17,NoCortex,11.14,31.14,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Convergent,Flake,34.18,NoCortex,11.32,18.63,,2,Direito,Trapezoidal,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,33.9,NoCortex,15.3,25.03,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Divergent,Flake,33.48,NoCortex,17.81,19.73,,2,Encurvado,Irregular,Cortical,Unidireccional,No_cortex
Natural,Paralell,Flake,32.34,NoCortex,8.75,19.29,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,31.88,NoCortex,7.59,18.19,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Pointed,Paralell,Flake,30.86,NoCortex,14.5,17.98,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,28.71,NoCortex,13.14,16.61,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,28.62,NoCortex,10.72,21.81,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,27.72,NoCortex,4.29,24.77,,2,Direito,Flat,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,27.66,NoCortex,6.29,18.15,,2,Irregular,Triangular,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,27.06,NoCortex,9.18,14.37,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Paralell,Flake,26.82,NoCortex,11.06,23.42,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Paralell,Flake,26.65,NoCortex,3.72,15,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,26.57,NoCortex,4.65,17.09,,2,Torcido,Triangular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,26.51,NoCortex,2.62,18.61,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,26.37,NoCortex,9.78,18.06,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,25.55,NoCortex,4.81,15.56,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,25.52,NoCortex,4.19,19.85,,2,Encurvado,Triangular,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,25.24,NoCortex,11.84,22.45,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Paralell,Flake,24.87,NoCortex,3.99,13.25,,2,Direito,Irregular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,24.79,NoCortex,5.73,38.65,,2,Irregular,Irregular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,24.66,NoCortex,3.19,16.66,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Pointed,Biconvex,Flake,24.5,NoCortex,3.47,15.07,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,24.47,NoCortex,3.55,12.3,,2,Torcido,Triangular,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,24.26,NoCortex,9.07,17.75,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Overpassed,Biconvex,Flake,24.15,NoCortex,3.79,16.93,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,23.75,NoCortex,10.08,21.32,,2,Direito,Trapezoidal,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,23.53,NoCortex,5.27,13.96,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,23.5,NoCortex,5.72,26.27,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Paralell,Flake,23.33,NoCortex,3.48,16.66,,2,Torcido,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,22.99,NoCortex,6.66,13.5,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,22.85,NoCortex,1.95,21.69,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,22.66,NoCortex,18.49,24.99,,2,1,Triangular,Liso,Unidireccional,No_cortex
Hinged,Convergent,Flake,22.6,NoCortex,11.48,33.28,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Pointed,Convergent,Flake,22.56,NoCortex,11.07,18.56,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,22.54,NoCortex,3.4,15.54,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Circular,Flake,22.53,NoCortex,2.6,23.11,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Divergent,Flake,22.35,NoCortex,6.06,33.34,,2,Direito,Flat,Other,Unidireccional,No_cortex
Natural,Biconvex,Flake,22.33,NoCortex,6.57,14.5,,2,Direito,Irregular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,22.06,NoCortex,2.85,21.85,,2,Encurvado,Flat,Liso,Unidireccional,No_cortex
Natural,Biconvex,Flake,21.65,NoCortex,4.72,12.58,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,21.62,NoCortex,3.74,12.65,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,21.37,NoCortex,3.42,24.81,,2,Direito,Trapezoidal,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,21.03,NoCortex,11.44,17.68,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,20.71,NoCortex,2.49,19.2,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Biconvex,Flake,20.68,NoCortex,5.27,10.4,,2,Irregular,Triangular,Other,Unidireccional,No_cortex
Natural,Divergent,Flake,20.53,NoCortex,5.32,14.13,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,20.52,NoCortex,4.56,13.97,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,20.51,NoCortex,4.47,10.38,,2,Irregular,Triangular,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,20.38,NoCortex,12.52,18.4,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,20.1,NoCortex,2.34,16.17,,2,Direito,Flat,Other,Unidireccional,No_cortex
Natural,Circular,Flake,18.72,NoCortex,3.02,17.02,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,18.33,NoCortex,2.41,10.23,,2,Torcido,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Irregular,Flake,18.3,NoCortex,1.64,15.26,,2,Torcido,Flat,Linear,Unidireccional,No_cortex
Natural,Irregular,Flake,18.29,NoCortex,3.87,13.97,,2,Direito,Triangular,Linear,Unidireccional,No_cortex
Natural,Irregular,Flake,18.28,NoCortex,2.41,11.41,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Biconvex,Flake,18.2,NoCortex,2.01,12.42,,2,Direito,Triangular,Linear,Unidireccional,No_cortex
Natural,Irregular,Flake,17.37,NoCortex,3.34,12.44,,2,Irregular,Irregular,Liso,Unidireccional,No_cortex
Hinged,Paralell,Flake,17.19,NoCortex,2.06,9.57,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,17.1,NoCortex,1.2,19,,2,Direito,Flat,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,16.73,NoCortex,3.05,29.29,,2,Direito,Irregular,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,16.69,NoCortex,4.28,10.33,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,16.67,NoCortex,11.99,23.39,,2,Direito,Irregular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,16.44,NoCortex,5.63,13.15,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,16.4,NoCortex,6.34,19.36,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,16.19,NoCortex,2.54,8.25,,2,Encurvado,Trapezoidal,Liso,Unidireccional,No_cortex
Natural,Biconvex,Flake,15.82,NoCortex,1.86,10.11,,2,Encurvado,Irregular,Linear,Unidireccional,No_cortex
Natural,Paralell,Flake,15.75,NoCortex,2.27,9.37,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Convergent,Flake,15.4,NoCortex,3.8,21.44,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,15.3,NoCortex,4.33,17.36,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,15.02,NoCortex,4.02,12.82,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,14.59,NoCortex,3.32,17.28,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Irregular,Flake,14.55,NoCortex,3.01,18.53,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Divergent,Flake,14.53,NoCortex,2.58,15.73,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,14.5,NoCortex,3.05,18.2,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,14.34,NoCortex,2.16,9.8,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,13.55,NoCortex,1.32,11.2,,2,Direito,Flat,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,13.42,NoCortex,2.9,10.47,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,13.35,NoCortex,3.69,17.6,,2,Direito,Irregular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,12.73,NoCortex,2.21,20.03,,2,Torcido,Irregular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,11.65,NoCortex,2.27,15.87,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,11.06,NoCortex,3.64,16.45,,2,Irregular,Flat,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,36.22000122,NoCortex,6.889999866,28.32999992,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Divergent,Flake,22.80999947,NoCortex,5.199999809,28.04999924,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Irregular,Flake,27.62999916,NoCortex,13.19999981,31.47999954,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,30.87999916,NoCortex,8.640000343,22.89999962,,2,Encurvado,Irregular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,24.11000061,NoCortex,5.889999866,17,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,41.91999817,NoCortex,7.260000229,31.12999916,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Other,Flake,31.70999908,NoCortex,2.99000001,26.82999992,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Biconvex,Flake,31.70000076,NoCortex,8.020000458,24.62999916,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,29.69000053,NoCortex,5.269999981,21.61000061,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,29.46999931,NoCortex,3.119999886,24.01000023,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,28.30999947,NoCortex,3.670000076,26.45999908,,2,Encurvado,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Convergent,Flake,27.15999985,NoCortex,4.409999847,18.09000015,,2,Encurvado,Trapezoidal,Liso,Unidireccional,No_cortex
Pointed,Convergent,Flake,26.56999969,NoCortex,5.699999809,27.20999908,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Paralell,Flake,25.67000008,NoCortex,2.940000057,17.07999992,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Divergent,Flake,25.21999931,NoCortex,5.699999809,35.91999817,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,24.48999977,NoCortex,5.349999905,12.46000004,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,23.95000076,NoCortex,2.960000038,17.87999916,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Biconvex,Flake,23.84000015,NoCortex,1.840000033,12.61999989,,2,Encurvado,Flat,Liso,Unidireccional,No_cortex
Natural,Other,Flake,23.39999962,NoCortex,4.610000134,22.04999924,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,23.34000015,NoCortex,4.230000019,14.18000031,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Déjeté,Flake,22.88999939,NoCortex,1.75,13.11999989,,2,Encurvado,Triangular,Crushed,Unidireccional,No_cortex
Natural,Biconvex,Flake,22.29999924,NoCortex,3.920000076,20.07999992,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Natural,Circular,Flake,19.56999969,NoCortex,2.799999952,17.59000015,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,19.53000069,NoCortex,3.109999895,12.38000011,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,19.5,NoCortex,2.799999952,10.64000034,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Divergent,Flake,18.20000076,NoCortex,3.50999999,12.46000004,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,17.95999908,NoCortex,3.200000048,12.64999962,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,17.37999916,NoCortex,1.730000019,11.82999992,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,16.47999954,NoCortex,2.630000114,14.85999966,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,16.43000031,NoCortex,3.670000076,14.81999969,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,12.80000019,NoCortex,3.569999933,17.05999947,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,60.20000076,NoCortex,5.809999943,34.49000168,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,22.37999916,NoCortex,5.789999962,13.72000027,,2,Encurvado,Trapezoidal,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,32.25,NoCortex,5.619999886,18.48999977,,2,Torcido,Trapezoidal,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,30.13999939,NoCortex,7.150000095,22.94000053,,2,Encurvado,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Paralell,Flake,30.07999992,NoCortex,5.159999847,18.45999908,,2,Irregular,Trapezoidal,Liso,Unidireccional,No_cortex
Hinged,Other,Flake,18.46999931,NoCortex,5.800000191,25.35000038,,2,Encurvado,Irregular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,25.79000092,NoCortex,5.550000191,22.63999939,,2,Direito,Irregular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,38.68000031,NoCortex,11.22999954,26.29000092,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,20.12999916,NoCortex,4.789999962,18.32999992,,2,Torcido,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Irregular,Flake,35.18999863,NoCortex,3.099999905,21.76000023,,2,Torcido,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,34.63000107,NoCortex,9,24.23999977,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,34.29999924,NoCortex,3.470000029,32.77999878,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,32.79000092,NoCortex,6.849999905,17.48999977,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Hinged,Paralell,Flake,31.22999954,NoCortex,4.940000057,21.65999985,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,30.43000031,NoCortex,4.940000057,23.03000069,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Hinged,Divergent,Flake,29.80999947,NoCortex,4.340000153,17.88999939,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,28.85000038,NoCortex,2.720000029,23.62000084,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Hinged,Paralell,Flake,28.72999954,NoCortex,5.940000057,24.89999962,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,28.28000069,NoCortex,3.529999971,18.05999947,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,26.61000061,NoCortex,2.799999952,30.94000053,,2,Direito,Flat,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,26.36000061,NoCortex,3.150000095,15.18000031,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,26.11000061,NoCortex,3.430000067,21.36000061,,2,Direito,Flat,Cortical,Unidireccional,No_cortex
Natural,Biconvex,Flake,25.05999947,NoCortex,3.900000095,17.12999916,,2,Torcido,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,24.78000069,NoCortex,2.769999981,13.44999981,,2,Torcido,Triangular,Crushed,Unidireccional,No_cortex
Natural,Convergent,Flake,24.70000076,NoCortex,3.710000038,19.70000076,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Hinged,Paralell,Flake,23.63999939,NoCortex,2.960000038,13.65999985,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Other,Flake,23.60000038,NoCortex,6.829999924,15.06000042,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,22.64999962,NoCortex,6.380000114,18.77000046,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,22.63999939,NoCortex,2.410000086,14.52999973,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,22.21999931,NoCortex,2.940000057,17.36000061,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,20.29999924,NoCortex,3.00999999,14.59000015,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Irregular,Flake,20.14999962,NoCortex,2.650000095,13.69999981,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,20.13999939,NoCortex,2.579999924,15.69999981,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Hinged,Divergent,Flake,19.30999947,NoCortex,3.599999905,17.87999916,,2,Direito,Triangular,Cortical,Unidireccional,No_cortex
Pointed,Convergent,Flake,19.02000046,NoCortex,3.349999905,9.81000042,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,18.88999939,NoCortex,2.829999924,12.64999962,,2,Encurvado,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Paralell,Flake,18.85000038,NoCortex,4.070000172,12.61999989,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Hinged,Paralell,Flake,18.81999969,NoCortex,2.440000057,12.97000027,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,18.57999992,NoCortex,4.96999979,28,,2,Direito,Flat,Liso,Unidireccional,No_cortex
Pointed,Biconvex,Flake,18.45000076,NoCortex,4.699999809,16.70000076,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Divergent,Flake,18.37000084,NoCortex,4.860000134,18.95000076,,2,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,18.35000038,NoCortex,1.840000033,22.92000008,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake,18.04000092,NoCortex,5.079999924,18.59000015,,2,Irregular,Flat,Liso,Unidireccional,No_cortex
Hinged,Paralell,Flake,17.70000076,NoCortex,3.190000057,9.649999619,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,17.63999939,NoCortex,1.850000024,13.98999977,,2,Direito,Flat,Crushed,Unidireccional,No_cortex
Natural,Paralell,Flake,17.56999969,NoCortex,4.489999771,21.13999939,,2,Direito,Irregular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake,17.54999924,NoCortex,1.24000001,13.09000015,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Divergent,Flake,17.20000076,NoCortex,2.839999914,13.42000008,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,16.18000031,NoCortex,2.450000048,11.39999962,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,15,NoCortex,2.619999886,12.65999985,,2,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,14.85000038,NoCortex,3.640000105,21.79999924,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,14.75,NoCortex,4.690000057,16.78000069,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Other,Flake,14.30000019,NoCortex,2.710000038,15.97999954,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Hinged,Irregular,Flake,14.10000038,NoCortex,3.789999962,12.81999969,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,13.97000027,NoCortex,5.28000021,16.69000053,,2,Irregular,Triangular,Crushed,Unidireccional,No_cortex
Natural,Other,Flake,11.68000031,NoCortex,4.800000191,21.70000076,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,26.26000023,NoCortex,3.529999971,19.73999977,,2,Torcido,Trapezoidal,Other,Unidireccional,No_cortex
Natural,Divergent,Flake,39.06999969,NoCortex,5.389999866,27.77000046,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Divergent,Flake,27.18000031,NoCortex,6.090000153,23.53000069,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Divergent,Flake,35.33000183,NoCortex,4.28000021,23.93000031,,2,Direito,Triangular,Crushed,Unidireccional,No_cortex
Natural,Divergent,Flake,43.43999863,NoCortex,7.210000038,42.16999817,,2,Torcido,Trapezoidal,Dihedral,Unidireccional,No_cortex
Natural,Divergent,Flake,32.24000168,NoCortex,4,18.92000008,,2,Encurvado,Trapezoidal,Crushed,Unidireccional,No_cortex
Natural,Divergent,Flake,43.36999893,NoCortex,3.200000048,25.34000015,,2,Direito,Triangular,Multifacetted,Unidireccional,No_cortex
Natural,Irregular,Flake,27.73999977,NoCortex,3.210000038,30.63999939,,2,Direito,Irregular,Cortical,Unidireccional,No_cortex
Natural,Irregular,Flake,25.86000061,NoCortex,2.299999952,14.5,,2,Encurvado,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,25.26000023,NoCortex,4.980000019,21.46999931,,2,Torcido,Triangular,Liso,Unidireccional,No_cortex
