Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Divergent,Flake,10.61,NoCortex,1.61,12.3,, ,Direito,Flat,Crushed,Other,No_cortex
Natural,Biconvex,Flake,32.44,NoCortex,3.4,20.41,, ,Encurvado,Irregular,Crushed,Other,No_cortex
Natural,Circular,Flake,24.13,NoCortex,4.11,23.57,, ,Encurvado,Flat,Liso,Other,No_cortex
Natural,Divergent,Flake,22.09,NoCortex,8.17,39.52,, ,Direito,Triangular,Cortical,Other,No_cortex
Natural,Irregular,Flake,19.32,NoCortex,1.76,18.11,, ,Direito,Flat,Other,Other,No_cortex
Natural,Irregular,Flake,16.06,NoCortex,6.71,16.46,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Divergent,Flake,13.51,NoCortex,3.45,16.15,, ,Direito,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,32.12,NoCortex,11.53,27.44,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,29.59,NoCortex,3.68,21.09,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Biconvex,Flake,27.99,NoCortex,5.39,18.31,, ,Irregular,Irregular,Other,Other,No_cortex
Natural,Irregular,Flake,27.74,NoCortex,4.15,22.65,, ,Direito,Irregular,Other,Other,No_cortex
Natural,Circular,Flake,25.18,NoCortex,8.25,24.88,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,63.48,NoCortex,14.1,80.98,, ,Direito,Triangular,Cortical,Other,No_cortex
Natural,Divergent,Flake,43.12,NoCortex,19.85,47.54,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,42.32,NoCortex,17.08,54.38,, ,Irregular,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,39.95,NoCortex,6.74,27.2,, ,Direito,Irregular,Multifacetted,Other,No_cortex
Natural,Biconvex,Flake,39.52,NoCortex,12.85,21.22,, ,Direito,Irregular,Cortical,Other,No_cortex
